incident_key,codigo_postal,crime_type,centroid_id,centroid_lat,centroid_lon,n_events,resolver_unit_id,resolver_name,resolver_category,resolver_category_label,resolver_lat,resolver_lon,allowed_resolver_categories,route_source,routing_status,distance_meters,duration_seconds,duration_minutes,static_duration_seconds,delay_seconds,encoded_polyline,route_description,generated_at_utc
06720_amenazas_2,06720,Amenazas,2,19.4229017,-99.1483245,306,osm_node_7158690385,Estación de policía Roma,police,Seguridad / vigilancia,19.4117187,-99.1589261,police,google_routes,ok,2207.0,537.0,8.95,603.0,-66.0,ojnuBd~e|QHe@?eCOuJAuFGOp@}IlAcOaUoCoDc@}HaAsBWgQwB_@IyAOuHaA,Dr. Jimenez,2026-06-06T17:34:57+00:00
06720_amenazas_1,06720,Amenazas,1,19.4140202,-99.1489288,242,osm_node_7158690385,Estación de policía Roma,police,Seguridad / vigilancia,19.4117187,-99.1589261,police,google_routes,ok,1467.0,344.0,5.733333333333333,405.0,-61.0,ojnuBd~e|QHe@?eCOuJAuFGOp@}IlAcOQCTeI{I_AG@qBUIfDsAQ,C. Antonio M. Anza y C. Dr.Márquez,2026-06-06T17:34:59+00:00
06300_amenazas_1,06300,Amenazas,1,19.4475228,-99.1425098,194,osm_node_4070639592,Módulo SSP La Pera,police,Seguridad / vigilancia,19.4525276,-99.1396332,police,google_routes,ok,825.0,213.0,3.55,236.0,-23.0,{ivuBffb|QRZl@dDE`@KZSRWNfANbASf@DdANr@BrJjAnBTnGv@S~A,Lerdo,2026-06-06T17:35:00+00:00
15530_amenazas_1,15530,Amenazas,1,19.4294952,-99.0989232,193,osm_node_5859752058,Seguridad Privada,police,Seguridad / vigilancia,19.4178002,-99.0862747,police,google_routes,ok,2611.0,507.0,8.45,541.0,-34.0,{oouBrww{QZTFJx@zFd@lDIh@_BdDtAn@vAz@XJ_G`MiCjF}DtIiA`CQf@OLIT?NgAdC{FpMa@Da@J}CXeBp@]P{@^uEvCCL}At@YQ_RqI{D}A,Calz. Ignacio Zaragoza,2026-06-06T17:35:01+00:00
08500_amenazas_1,08500,Amenazas,1,19.3917059,-99.0659832,184,osm_node_1477979999,Seguridad / vigilancia,police,Seguridad / vigilancia,19.3904466,-99.0637351,police,google_routes,ok,349.0,87.0,1.45,101.0,-14.0,qejuBlks{Q[GqAbNeC],Sur 20,2026-06-06T17:35:03+00:00
06700_dano_a_la_propiedad_2,06700,Daño a la propiedad,2,19.4181083,-99.1663273,231,osm_node_7158690385,Estación de policía Roma,police,Seguridad / vigilancia,19.4117187,-99.1589261,"fire_station,police",google_routes,ok,1704.0,550.0,9.166666666666666,520.0,30.0,ojnuBd~e|QHe@?eC_BVd@rDVdClBlPkLnBiEr@a@L}Q|CqDl@_ANlAtIdAQ,Coahuila y Monterrey/Eje 2 Pte,2026-06-06T17:35:04+00:00
08500_dano_a_la_propiedad_2,08500,Daño a la propiedad,2,19.3922709,-99.0678374,205,osm_node_1477979999,Seguridad / vigilancia,police,Seguridad / vigilancia,19.3904466,-99.0637351,"fire_station,police",google_routes,ok,702.0,170.0,2.8333333333333335,169.0,1.0,qejuBlks{Q[GDo@~@LuCpZsFy@E^,Sur 20,2026-06-06T17:35:05+00:00
06400_dano_a_la_propiedad_2,06400,Daño a la propiedad,2,19.4438577,-99.158119,198,osm_node_4878881532,Policia Auxiliar,police,Seguridad / vigilancia,19.4535805,-99.1523035,"fire_station,police",google_routes,ok,1883.0,432.0,7.2,461.0,-29.0,sovuBfsd|QrGr@^@PEpGv@xQlBV?hHx@zBr@`DfAwB~Ua@xClJfB^}DmBU,Insurgentes Nte. y C. Sor Juana Ines de la Cruz,2026-06-06T17:35:07+00:00
06700_dano_a_la_propiedad_1,06700,Daño a la propiedad,1,19.4186836,-99.1578929,176,osm_node_7158690385,Estación de policía Roma,police,Seguridad / vigilancia,19.4117187,-99.1589261,"fire_station,police",google_routes,ok,1165.0,363.0,6.05,332.0,31.0,ojnuBd~e|QHe@?eCiHjA}Ev@]aD_@uDY_CuXnETfB,C. Orizaba y Mérida,2026-06-06T17:35:08+00:00
06300_dano_a_la_propiedad_1,06300,Daño a la propiedad,1,19.4412496,-99.1443671,170,osm_node_4070639592,Módulo SSP La Pera,police,Seguridad / vigilancia,19.4525276,-99.1396332,"fire_station,police",google_routes,ok,2002.0,716.0,11.933333333333334,562.0,154.0,{ivuBffb|QRZl@dDE`@KZSRWNfANbASf@DdANr@BrJjAnBTnGv@jKdAxUxBfBT?\D\Xh@ZXf@Pb@Br@EhAhAlBxBQ\_@[MGsGy@GCk@G,Lerdo,2026-06-06T17:35:09+00:00
06600_delitos_sexuales_1,06600,Delitos sexuales,1,19.4255123,-99.1645435,89,osm_node_5280393723,Centro Hospitalario Sanatorio Durango,hospital,Salud / emergencia medica,19.4183686,-99.1716807,"police,hospital",google_routes,ok,1698.0,891.0,14.85,499.0,392.0,isouBvnh|QeAr@oD_Xu@gFHi@T[H_@A]K_@YYYKm@DUHMEy@u@aBoA[[wGjAsBd@a@LYBoD|AaEyKsChAJVzAm@HP,Durango,2026-06-06T17:35:11+00:00
06720_delitos_sexuales_1,06720,Delitos sexuales,1,19.422607,-99.1479305,86,osm_node_4425468090,Instituto Oftalmologia,hospital,Salud / emergencia medica,19.4225708,-99.1418319,"police,hospital",google_routes,ok,905.0,235.0,3.9166666666666665,252.0,-17.0,klpuBjsb|QAw@vDRm@`O{@|PUrF{BY,C. Dr. Liceaga,2026-06-06T17:35:11+00:00
06300_delitos_sexuales_1,06300,Delitos sexuales,1,19.4445847,-99.1452585,80,osm_node_4070639592,Módulo SSP La Pera,police,Seguridad / vigilancia,19.4525276,-99.1396332,"police,hospital",google_routes,ok,1769.0,525.0,8.75,495.0,30.0,{ivuBffb|QRZl@dDE`@KZSRWNfANbASf@DdANr@BrJjAnBTnGv@jKdAdPzA{AzOsHcA,Lerdo,2026-06-06T17:35:13+00:00
06090_delitos_sexuales_1,06090,Delitos sexuales,1,19.4260636,-99.1331063,64,osm_node_10823121866,Hospital de Jesus,hospital,Salud / emergencia medica,19.4288082,-99.1336905,"police,hospital",google_routes,ok,517.0,180.0,3.0,154.0,26.0,euquBvaa|QuAKb@sF|QtA,José María Pino Suárez,2026-06-06T17:35:14+00:00
06720_delitos_sexuales_2,06720,Delitos sexuales,2,19.4124621,-99.149754,57,osm_way_39544321,Centro Medico Nacional Siglo XXI,hospital,Salud / emergencia medica,19.4091815,-99.1528235,"police,hospital",google_routes,ok,745.0,180.0,3.0,218.0,-38.0,wymuBbyd|QsA~@e@C}AMQ@RaCJaCF[TcEmGw@_Fk@HiBSA,Dr. Jimenez,2026-06-06T17:35:15+00:00
06720_fraude_y_extorsion_2,06720,Fraude y extorsión,2,19.4210234,-99.1499486,2214,osm_node_7158690385,Estación de policía Roma,police,Seguridad / vigilancia,19.4117187,-99.1589261,police,google_routes,ok,2221.0,569.0,9.483333333333333,563.0,6.0,ojnuBd~e|QHe@?eCiHjA}Ev@]aD_@uDyAaMEy@s[iA}EScJWjAsWrANlC^,Av. Cuauhtémoc/Eje 1 Pte,2026-06-06T17:35:16+00:00
06720_fraude_y_extorsion_1,06720,Fraude y extorsión,1,19.4243287,-99.1476236,1419,osm_node_7158690385,Estación de policía Roma,police,Seguridad / vigilancia,19.4117187,-99.1589261,police,google_routes,ok,2458.0,670.0,11.166666666666666,636.0,34.0,ojnuBd~e|QHe@?eCiHjA_K~AkAaL[_Ci@aFUoBdAi]}HaAsBWgQwB_@IyAOyNkBgB_@,Eje 2 Sur y Dr. Jimenez,2026-06-06T17:35:18+00:00
06720_fraude_y_extorsion_3,06720,Fraude y extorsión,3,19.4168186,-99.1485756,710,osm_node_7158690385,Estación de policía Roma,police,Seguridad / vigilancia,19.4117187,-99.1589261,police,google_routes,ok,1639.0,408.0,6.8,399.0,9.0,ojnuBd~e|QHe@?eCiHjA}Ev@]aD_@uDyAaMEy@_J[TcH?c@fAiX,San Luis Potosí y C. Dr. García Diego,2026-06-06T17:35:19+00:00
06600_fraude_y_extorsion_1,06600,Fraude y extorsión,1,19.4250592,-99.1676324,662,osm_node_9130222753,Seguridad / vigilancia,police,Seguridad / vigilancia,19.4333514,-99.1719654,police,google_routes,ok,1697.0,891.0,14.85,414.0,477.0,cqruBfoh|QbDjBPHzAbArBx@dBl@dFpBRN^kANU\Qb@GtA@d@EnAc@r@_@jL_FROVa@FEHUNKX?HD|@SJC_@a@UQQW{FaP?MPo@lFwBRl@,Cto. Interior Melchor Ocampo y Río Misisipi/Eje 3 Pte,2026-06-06T17:35:20+00:00
03810_fraude_y_extorsion_1,03810,Fraude y extorsión,1,19.3948544,-99.1734876,639,osm_node_473112375,Seguridad / vigilancia,police,Seguridad / vigilancia,19.3956112,-99.1690504,police,google_routes,ok,1340.0,317.0,5.283333333333333,350.0,-33.0,_ekuBt}g|QGh@_AbGnSrEVHeDlVYd@QTiEaCmBcAJe@l@sE,Av. Magdalena,2026-06-06T17:35:21+00:00
14500_homicidio_2,14500,Homicidio,2,19.1979538,-99.1447849,50,osm_node_1698266724,Agrupamiento a caballo,police,Seguridad / vigilancia,19.2347073,-99.1203903,"police,hospital",google_routes,ok,5762.0,1357.0,22.616666666666667,1097.0,260.0,mxktBlm~{QHxDpPoBjLyAvJkAtDi@JC~Ax@zBxAb@ZdCtBdCxBpAr@dUfIjBp@vB~@l@^bCzB`RvQx@h@x@\`@F\?^Cb@IfBu@^?n@N^NnAx@|BnAdF~ClCfBdBtAr@|@Vv@Hj@@r@Ij@Uj@_@`@}AnAW\K\APHXNP\J`@@bAGZ@h@VbAp@pClAr@^r@d@l@PhAr@~AjAZPrAb@p@HzDFz@?h@Bv@Jh@Tb@h@Nj@Hn@bA[TApBHdAPxAb@~@f@|EhDn@^`@b@Zx@Rr@^jBBp@Kh@c@|@[~@MrBA`ED~DtBfDnAfB`@v@XRv@fA,Carr. a Topilejo,2026-06-06T17:35:22+00:00
15270_homicidio_2,15270,Homicidio,2,19.4472731,-99.1231182,44,osm_node_2005357867,Hospital Materno Infantil Inguarán,hospital,Salud / emergencia medica,19.4520667,-99.1130365,"police,hospital",google_routes,ok,2668.0,471.0,7.85,479.0,-8.0,shvuB|~|{QHi@kC_@jE_T`Bb@r@b@pA`A|@v@z@X|Er@r@NsD|XaHhh@hQMnA?hDCs@bJ,Av. Canal del Nte./Eje 2 Nte,2026-06-06T17:35:24+00:00
09040_homicidio_1,09040,Homicidio,1,19.3724059,-99.0904311,39,osm_node_5899997186,Policía,police,Seguridad / vigilancia,19.3767411,-99.0969283,"police,hospital",google_routes,ok,1599.0,362.0,6.033333333333333,377.0,-15.0,yoguBb{y{QgAm@}@f@tD~AvGfCNJj@MTWDkA@yLb@[XErNHLU@WEKKM{B?T_[,Canal Río Churubusco/Eje 4 Ote,2026-06-06T17:35:26+00:00
06720_homicidio_2,06720,Homicidio,2,19.4128966,-99.1489969,36,osm_node_2278973453,Hospital Punto Médico,hospital,Salud / emergencia medica,19.4153725,-99.1550669,"police,hospital",google_routes,ok,924.0,211.0,3.5166666666666666,203.0,8.0,gaouBlee|QdAQIqAr@{SFs@b@oN`J~@,Dr. Balmis/Eje 2A Sur,2026-06-06T17:35:28+00:00
06200_homicidio_1,06200,Homicidio,1,19.4491525,-99.1284365,35,osm_node_1466294105,Centro de Salud Dr. D. Orvañanos,hospital,Salud / emergencia medica,19.4442171,-99.1354083,"police,hospital",google_routes,ok,1302.0,327.0,5.45,311.0,16.0,kvtuBdka|QBk@_FYuIg@oAKEq@Mc@OUFa@`@aHcC]eFiAoA]|@mD~@eEdAeGqAOFw@,C. Comonfort y C. Peñón,2026-06-06T17:35:30+00:00
06720_lesiones_2,06720,Lesiones,2,19.4136888,-99.1494729,241,osm_node_2278973453,Hospital Punto Médico,hospital,Salud / emergencia medica,19.4153725,-99.1550669,"hospital,police",google_routes,ok,942.0,220.0,3.6666666666666665,213.0,7.0,gaouBlee|QdAQIqAr@{SFs@b@oNvEd@IvD,Dr. Balmis/Eje 2A Sur,2026-06-06T17:35:32+00:00
06600_lesiones_1,06600,Lesiones,1,19.4251689,-99.1659207,195,osm_node_9709777177,Imss Villalonguin,hospital,Salud / emergencia medica,19.4340558,-99.1655405,"hospital,police",google_routes,ok,1385.0,520.0,8.666666666666666,374.0,146.0,cvruBlhg|Qg@MKLY~@xCh@\A~IwDJCfJ}D|BcAv@CRJZ@TINMHU@U^g@xFaCtD`KdCrG,Rio Rhin y Hamburgo,2026-06-06T17:35:33+00:00
06720_lesiones_1,06720,Lesiones,1,19.4232519,-99.1476468,190,osm_node_4425468090,Instituto Oftalmologia,hospital,Salud / emergencia medica,19.4225708,-99.1418319,"hospital,police",google_routes,ok,1037.0,244.0,4.066666666666666,272.0,-28.0,klpuBjsb|QAw@vDRm@`O{@|PUrFmDc@JiCECq@E,C. Dr. Liceaga,2026-06-06T17:35:34+00:00
06700_lesiones_1,06700,Lesiones,1,19.4188747,-99.166903,184,osm_node_5280393723,Centro Hospitalario Sanatorio Durango,hospital,Salud / emergencia medica,19.4183686,-99.1716807,"hospital,police",google_routes,ok,1071.0,411.0,6.85,289.0,122.0,isouBvnh|QeAr@oD_Xu@gFHi@T[DKzEs@bAtHSD{CkC,Durango,2026-06-06T17:35:36+00:00
06300_lesiones_1,06300,Lesiones,1,19.4467594,-99.1422681,148,osm_node_4070639592,Módulo SSP La Pera,police,Seguridad / vigilancia,19.4525276,-99.1396332,"hospital,police",google_routes,ok,838.0,218.0,3.6333333333333333,240.0,-22.0,{ivuBffb|QRZl@dDE`@KZSRWNfANbASf@DdANr@BrJjAnBTnGv@pBT,Lerdo,2026-06-06T17:35:38+00:00
06200_narcomenudeo_2,06200,Narcomenudeo,2,19.4443746,-99.1306244,488,osm_node_4070639592,Módulo SSP La Pera,police,Seguridad / vigilancia,19.4525276,-99.1396332,police,google_routes,ok,2271.0,666.0,11.1,624.0,42.0,{ivuBffb|QRZl@dDE`@KZSRWNfANbASf@DdANr@BZcBXcAhBiF|F}OnAkDZm@TUh@BTAf@O\a@HUJo@nAJ|DTl@gMeHGx@gMtE\zIb@,Av. Ricardo Flores Magón,2026-06-06T17:35:40+00:00
